RECID|DIVISI|DEPART|KATEGORI|SUB_KATEGORI|CAT_COD|PRDCD|PLUMD|KDMERK|MERK|NAMA|FLAVOUR|KEMASAN|SIZE|SINGKATAN|BKP|SUB_BKP|BBS_PPN|DESC2|FRAC|PSNDULU|UNIT|ACOST|LCOST|RCOST|ACOST_1|RCOST_1|MARKUP|PRICE|PRDGRP|CTGR|KONS|SUPCO|PTAG|TGL_TAMBAH|REORDER|KEL_ORD|LENGTH|WIDTH|HEIGHT|K_LENGTH|K_WIDTH|K_HEIGHT|BERAT_SAT|BERAT_KRT|EXP_MONTH|BARCSTS|KET|TGL_HJB|TP_BELI|RCG|BRG_AKTIF|EXPRICE|PLUTABUNG|OPENPRICE|QTYTABUNG|NonSO|NONRET|TIPE_GDG|BRG_IKIOSK|ADDID|ADDTIME|UPDID|UPDTIME|MerkAsing|DescAsing|NPLUS|PKM_NEW|FLAGPROD|FT|HIT_SS|HIT_SPD|HIT_LEAD|HIT_RASIO|HIT_PKM|HIT_MIN_DISP|HIT_PKM_AKHIR|HIT_FIXED_TB|HIT_SS_DEP|SS_TUA|SS_MUDA|STATUS_RETUR|FT_SEASONAL|HIGHIMPACT|DISC_05|VNPPN
|01|02|01||010201|10000019|10000019||INDOMILK|SUSU KENTAL MANIS|PUTIH|KLG|370g|INDOMILK SKM PTH 370|Y|Y||INDOMILK,SUSU KENTAL MANIS PUTIH 370g KLG|1|N|CTN|10632.497000|10632.497000|10632.497000|0.000000|0.000000|0.000000|12200.000000||XX||||31/08/1998 00:00:00|1||7.50|7.50|8.30|30.50|45.50|16.50|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0|N|N|||||BPB|31/10/2025 06:53:29|||0|4|GRB=Y,BARSK=Y,BACSP=Y,FPD=S,RTN=48,MDR=1,GRB=Y,BARSK=Y,BACSP=Y|0|11|0.076923|1||0.923076|3|4|0|11 11|0|0|RT|0|Y|0.0000|11
|01|02|01||010201|10000020|10000020||INDOMILK|SUSU KENTAL MANIS|CHOCOLATE|KLG|370g|INDOMILK SKM CHO 370|Y|Y||INDOMILK,SUSU KENTAL MANIS CHOCOLATE 370g KLG|1|N|CTN|10632.488172|10632.496000|10632.488172|0.000000|0.000000|0.000000|12200.000000||XX||||01/01/1998 00:00:00|1||7.50|7.50|8.30|30.50|45.50|16.50|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|3|GRB=Y,FPD=S,RTN=48,MDR=1,GRB=Y|0|11|0.032609|1||0.391308|2|3|0|11 11|0|0|RT|0|Y|0.0000|11
|01|02|01||010201|10000021|10000021||CAP ENAK|KENTAL MANIS|PUTIH|KLG|370g|ENAK K/MNS PUTIH 370|Y|Y||CAP ENAK,KENTAL MANIS PUTIH 370g KLG|1|N|CTN|10052.526873|10052.542000|10052.526873|0.000000|0.000000|0.000000|11500.000000||XX||||01/01/1998 00:00:00|2||7.50|7.50|8.30|16.50|46.30|31.00|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|5|GRB=Y,FPD=S,RTN=48,MDR=1,GRB=Y|0|11|0.010870|1||0.130440|3|5|0|11 11|0|0|RT|0|Y|0.0000|11
|01|11|04||011104|10000052|10000052||AIM|CRACKERS|CRISPY|PCK|150g|AIM CRACK CRISPY 150|Y|Y||AIM,CRACKERS CRISPY 150g PCK|1|N|CTN|6804.321000|6804.321000|6804.321000|0.000000|0.000000|0.000000|10700.000000||XX||||11/06/1999 00:00:00|1||4.00|16.00|7.50|16.50|31.00|28.50|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|5|FPD=S,RTN=28,MDR=1|0|11|0.076087|1||0.913044|4|6|0|11 11|0|0|RT|0|Y|0.0000|11
|01|07|06||010706|10000060|10000060||JEMPOL|SAMBAL|PEDAS|BTL|320mL|JEMPOL SMBL PDS 320|Y|Y||JEMPOL,SAMBAL PEDAS 320mL BTL|1|N|CTN|16386.270000|16386.270000|16386.270000|0.000000|0.000000|0.000000|22400.000000||XX||||02/05/2019 00:00:00|1||6.10|6.10|21.00|40.00|26.50|21.80|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|3|FPD=S,RTN=24,MDR=2|0|11|0.010870|1||0.130440|2|3|0|11 11|0|0|RT|0|Y|0.0000|11
|02|15|04||021504|10000069|10000069||MIXAGRIP|OBAT SAKIT FLU (4)||STR||MIXAGRIP O.SKT FLU4S|Y|Y||MIXAGRIP,OBAT SAKIT FLU (4) |1|N|BOX|2643.497974|2643.508000|2643.497974|0.000000|0.000000|0.000000|3600.000000||XX||||01/01/1998 00:00:00|1||0.60|8.20|6.20|33.80|51.00|40.00|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|8|FPD=S,RBX=25,RTN=1600,MDR=1|0|11|0.130435|1||1.565220|7|8|0|11 11|0|0|RT|0|Y|25.2801|11
|02|15|03||021503|10000073|10000073||PARAMEX|OBAT SAKIT KEPALA (4)||STR||PARAMEX SKT KEPALA 4|Y|Y||PARAMEX,OBAT SAKIT KEPALA (4) |1|N|BOX|2148.064996|2148.065000|2148.064887|0.000000|0.000000|0.000000|3500.000000||XX||||01/01/1998 00:00:00|1||0.50|6.30|6.30|35.00|56.50|28.00|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|11|FPD=S,RBX=50,RTN=2000,MDR=2|0|11|0.423913|1||5.086956|10|11|0|11 11|0|0|PT|0|Y|0.0000|11
|02|15|04||021504|10000075|10000075||KONIDIN|OBAT BATUK||STR|4'S|KONIDIN OBAT BTK 4'S|Y|Y||KONIDIN,OBAT BATUK  4'S STR|1|N|BOX|2188.029000|2188.029000|2188.029000|0.000000|0.000000|0.000000|3200.000000||XX||||27/02/2012 00:00:00|1||0.30|6.00|6.00|32.00|50.30|22.40|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N||||27/06/2023 06:43:22|BPB|31/10/2025 06:53:29|||0|7|FPD=S,RBX=50,RTN=2000,MDR=1|0|11|0.076087|1||0.913044|6|7|0|11 11|0|0|PT|0|Y|0.0000|11
|02|15|03||021503|10000077|10000077||BODREX|OBAT SAKIT KEPALA (20)||BOX||BODREX SKT KEPALA 20|Y|Y||BODREX,OBAT SAKIT KEPALA (20) |1|N|BOX|7586.275001|7586.275000|7586.275001|0.000000|0.000000|0.000000|10500.000000||XX||||01/01/1998 00:00:00|1||1.60|11.20|4.40|45.50|50.50|24.00|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0|N|N|||||BPB|31/10/2025 06:53:29|||0|3|FPD=S,RTN=600,MDR=1|0|11|0.076087|1||0.913044|2|3|0|11 11|0|0|RT|0|Y|0.0000|11
|01|02|01||010201|10000088|10000088||FRISIAN FLAG|SUSU KENTAL MANIS|COKLAT|KLG|370g|FF SKM CKLT KLG 370|Y|Y||FRISIAN FLAG,SUSU KENTAL MANIS COKLAT 370g KLG|1|N|CTN|11227.923000|11227.923000|11227.923000|0.000000|0.000000|0.000000|13100.000000||XX||||01/01/1998 00:00:00|1||7.40|7.40|8.20|46.00|30.50|16.50|0|0|0|BC|PFE31105F|30/10/2025 00:00:00||0|N|0.000|||0||N|||||BPB|31/10/2025 06:53:29|||0|4|GRB=Y,FPD=S,RTN=48,MDR=1,GRB=Y|0|11|0.000000|1||0.000000|3|4|0|11 11|0|0|PT|0|Y|0.0000|11
